year,PIB,deflateur,croissance_reelle,dette_PIB,deficit_PIB,charge_interets,taxe_inflationniste_PIB,taxe_inflationniste
1978,345.186,9.267,3.949,21.583193891763987,-1.8,1.428,2.0001145779497684,6.904115507041687
1979,394.491,10.211,3.695,21.581723366792517,-0.5,2.37,2.203709772983184,8.693436720539092
1980,447.416,11.546,1.676,21.298499359767657,-0.4,2.789,2.4591247360787736,11.002517529174206
1981,504.71,11.481,1.188,22.639947803647875,-2.4,4.8629999999999995,2.5992924073368124,13.118888709069626
1982,579.251,12.033,2.443,26.201035889808004,-2.9,5.624,3.152770648620597,18.262455509841292
1983,642.945,9.613,1.262,27.73317674132783,-2.6,9.26,2.6659902801438444,17.140851206670842
1984,699.502,7.073,1.609,30.190669961010823,-2.8,10.992,2.1353860863422955,14.937068381686084
1985,749.583,5.504,1.569,31.851204529236444,-3,13.133000000000003,1.7530902972891738,13.140866843129107
1986,807.707,5.239,2.39,32.395667934576785,-3.2,14.812000000000001,1.6972090430924778,13.708476245690958
1987,848.788,2.47,2.553,34.75529926325521,-2,15.992,0.8584558918024038,7.286470594911788
1988,917.933,3.179,4.814,34.66707032738569,-2.6,17.034,1.102066165707591,10.116229016864661
1989,988.884,3.184,4.405,35.52562460593184,-1.8,19.47,1.1311358874528699,11.185621809279437
1990,1043.975,2.666,2.83,36.79133251109128,-2.5,22.889000000000003,0.9808569247456934,10.239901080113853
1991,1082.833,2.455,1.237,37.772083045123296,-2.9,24.983,0.9273046387577769,10.041160639
1992,1121.458,2.02,1.516,41.70522465351135,-4.6,27.744,0.8424455380009293,9.447672881554462
1993,1134.839,1.558,-0.359,48.15786491576864,-6.4,30.285000000000004,0.7502995353876755,8.514691744398142
1994,1172.96,0.953,2.384,51.58038412891006,-5.5,32.832,0.49156106074851286,5.765814618155756
1995,1213.802,1.151,2.305,57.80183001780191,-5.1,35.010000000000005,0.6652990635049,8.075413338803745
1996,1246.974,1.317,1.397,60.59470219780898,-3.9,38.819,0.7980322279451443,9.951254394096683
1997,1289.669,0.875,2.527,61.9848872873757,-3.7,38.968999999999994,0.5423677637645373,6.994748915264471
1998,1346.318,0.909,3.453,62.10273118319184,-2.4,38.909000000000006,0.5645138264552139,7.600151258055306
1999,1395.148,0.22,3.399,61.42000705301517,-1.5,37.248999999999995,0.1351240155166334,1.8851800000000003
2000,1473.517,1.418,4.141,59.721049763039765,-1.3,38.087,0.8468444856399039,12.478397459466544
2001,1530.071,1.902,1.899,59.324048316976686,-1.4,40.022000000000006,1.1283433989888965,17.264455128343396
2002,1578.33,2.064,1.068,61.254601698098185,-3.2,41.648999999999994,1.2642949790487465,19.95474694282008
2003,1622.313,1.801,0.968,65.3634736778259,-4.1,41.057,1.1771961609376442,19.097806354392326
2004,1696.108,1.634,2.868,66.87664940145015,-3.6,42.632,1.0927644512196955,18.53446527829335
2005,1762.048,1.962,1.889,68.18771137693945,-3.5,42.974000000000004,1.3378428972155518,23.573434013528686
2006,1846.021,1.997,2.714,65.40012983602351,-2.7,43.816,1.3060405928253898,24.109783612081188
2007,1937.876,2.385,2.53,65.47889563436016,-3,47.843999999999994,1.5616716608794896,30.26326031498502
2008,1990,2.301,0.38,69.8191060028803,-3.5,52.428,1.606537629126276,31.970098819612893
2009,1935.84,0.106,-2.825,84.05652491357499,-7.4,43.393,0.08909991640838948,1.7248318218001668
2010,1996.075,1.089,2,86.27931884927577,-7.2,45.771,0.9395817822686131,18.754757060418218
2011,2062.141,0.851,2.438,88.74755145306719,-5.3,51.246,0.7552416628656018,15.57414797903335
2012,2088.287,1.082,0.184,91.74027684991721,-5.2,51.422999999999995,0.9926297955161043,20.728958977889388
2013,2120.352,0.748,0.782,94.54562707256281,-4.9,46.697,0.7072012905027698,14.995156707201287
2014,2153.733,0.571,0.998,96.14004632235999,-4.6,45.297000000000004,0.5489596645006756,11.823125451040337
2015,2201.402,1.134,1.067,96.94278408810095,-3.9,42.55500000000001,1.0993311715590648,24.200698397324686
2016,2231.819,0.517,0.86,98.12622814607921,-3.8,40.928000000000004,0.5073125995152296,11.3222989853748
2017,2291.681,0.586,2.084,98.7223131671278,-3.4,39.652,0.5785127551593688,13.257666892563774
2018,2355.363,1.115,1.646,98.49013493802315,-2.3,40.349000000000004,1.0981650045589582,25.865772196330013
2019,2432.207,1.211,2.027,98.1043223791661,-2.4,35.838,1.1880433440117018,28.895673376086688
2020,2318.276,2.978,-7.441,114.8310110762471,-8.9,29.332,3.4196675098506386,79.27733116066499
2021,2508.102,1.222,6.882,112.70273943770155,-6.6,34.272999999999996,1.3772274759287129,34.54226986831756
2022,2655.435,3.221,2.571,111.22848045612113,-4.7,49.803999999999995,3.582669355491662,95.13545600000002
2023,2822.455,5.304,0.936,109.88307836731902,-5.5,48.785000000000004,5.8281984766026005,164.49827931279393
